month,FCNTX_ret,AGTHX_ret,SPY_ret,Date,ACTIVE_EW_ret
2021-01,,,,2021-01-31,
2021-02,0.0156659069534936,0.0158407542761349,0.0278053567121625,2021-02-28,0.01575333061481425
2021-03,0.0206546764990489,0.008744891153787,0.0454051054227686,2021-03-31,0.014699783826417949
2021-04,0.0702317902445401,0.0546166935434311,0.0529104278925076,2021-04-30,0.0624242418939856
2021-05,0.0022299438695634,-0.0067131355225535,0.0065662063036706,2021-05-31,-0.0022415958264950502
2021-06,0.0410631148228015,0.0339321115022051,0.0224725300570693,2021-06-30,0.0374976131625033
2021-07,0.0213209784374863,0.0098705963835856,0.0244126428200903,2021-07-31,0.01559578741053595
2021-08,0.045406660503515,0.0359327261560873,0.0297597590380749,2021-08-31,0.04066969332980115
2021-09,-0.0599074550128535,-0.034940696382685,-0.0465752210470136,2021-09-30,-0.047424075697769255
2021-10,0.069565978298915,0.0868120219447583,0.070163540287224,2021-10-31,0.07818900012183666
2021-11,-0.0009885734544164,-0.0282051282051282,-0.0080348221062153,2021-11-30,-0.0145968508297723
2021-12,0.0131849233268044,0.008379785762254,0.046288256595772,2021-12-31,0.0107823545445292
2022-01,-0.0820945286030863,-0.0998655309888293,-0.0527413118646414,2022-01-31,-0.0909800297959578
2022-02,-0.0488937809576224,-0.0364817278030913,-0.029516934096613,2022-02-28,-0.04268775438035685
2022-03,0.0327824584143443,0.0296387832300755,0.0375556091508471,2022-03-31,0.0312106208222099
2022-04,-0.1155676410605031,-0.1201203832376326,-0.0877691192841689,2022-04-30,-0.11784401214906785
2022-05,-0.0128641535251835,-0.0208978381945972,0.0022572514490617,2022-05-31,-0.01688099585989035
2022-06,-0.0877913543484957,-0.0942971822957442,-0.0824692110571914,2022-06-30,-0.09104426832211995
2022-07,0.0909781629896442,0.101798533908906,0.0920875642408458,2022-07-31,0.0963883484492751
2022-08,-0.0399803967087105,-0.0340124767719669,-0.0408020607883657,2022-08-31,-0.0369964367403387
2022-09,-0.0818309644715511,-0.0858438390986225,-0.0924163152135807,2022-09-30,-0.08383740178508681
2022-10,0.0469079204057745,0.0454628416825921,0.0812754236258987,2022-10-31,0.0461853810441833
2022-11,0.0522785081385273,0.0453856936735248,0.0555916244507237,2022-11-30,0.04883210090602605
2022-12,-0.0569771560120418,-0.0649387009312744,-0.0575758779952851,2022-12-31,-0.0609579284716581
2023-01,0.0727853152434159,0.09800074591193,0.0628872149360841,2023-01-31,0.08539303057767295
2023-02,-0.0184146266749521,-0.0196911889583906,-0.0251426953860141,2023-02-28,-0.01905290781667135
2023-03,0.0589640936934368,0.0328507672824609,0.037124980046544,2023-03-31,0.04590743048794885
2023-04,0.0323577454827139,0.0072716791956266,0.0159751186501777,2023-04-30,0.01981471233917025
2023-05,0.0255038374018221,0.0267048812751544,0.0046160661827181,2023-05-31,0.026104359338488252
2023-06,0.0604122924222179,0.0701222158766419,0.0648141074927453,2023-06-30,0.0652672541494299
2023-07,0.0415579155791558,0.0413857733869005,0.0327334422802072,2023-07-31,0.04147184448302815
2023-08,-0.0096563046812555,-0.0175039408978071,-0.0162521347588816,2023-08-31,-0.013580122789531298
2023-09,-0.0318325916877526,-0.0463890639148413,-0.0473932399721394,2023-09-30,-0.039110827801296946
2023-10,-0.0094026465596226,-0.0311403316851179,-0.0217086327429015,2023-10-31,-0.02027148912237025
2023-11,0.081985110157541,0.1089319305281746,0.0913438450850032,2023-11-30,0.09545852034285779
2023-12,0.0348173995907956,0.0637756712451509,0.0456626429162523,2023-12-31,0.049296535417973256
2024-01,0.0484815654941261,0.01741442581401,0.0159264353344947,2024-01-31,0.03294799565406805
2024-02,0.0938486873970745,0.0728305862873484,0.0521867613421871,2024-02-29,0.08333963684221145
2024-03,0.0287406200369588,0.0310406392277635,0.0327239491066557,2024-03-31,0.02989062963236115
2024-04,-0.0463887055582655,-0.043612122737873,-0.0403196198650653,2024-04-30,-0.045000414148069254
2024-05,0.0691012385503304,0.040599521919153,0.0505797128876206,2024-05-31,0.0548503802347417
2024-06,0.0444653351647115,0.0428338247233259,0.0352847018790565,2024-06-30,0.043649579944018704
2024-07,-0.014848310095234,-0.0006785372441553,0.0121089502433313,2024-07-31,-0.00776342366969465
2024-08,0.0391929448322647,0.0223823316199842,0.0233656469293828,2024-08-31,0.03078763822612445
2024-09,0.0207947270889488,0.0299854500303995,0.021009213172823,2024-09-30,0.02539008855967415
2024-10,-0.0033161081371001,-0.0041226612424677,-0.0089236367393412,2024-10-31,-0.0037193846897839
2024-11,0.0489550292612503,0.0671317800360955,0.0596335499478395,2024-11-30,0.0580434046486729
2024-12,-0.0094267955801103,-0.0168054295592074,-0.0240997811836836,2024-12-31,-0.01311611256965885
2025-01,0.0542107176471173,0.0517058395640301,0.0268563355735191,2025-01-31,0.0529582786055737
2025-02,-0.0257115189305368,-0.0376707863257553,-0.0126948584108732,2025-02-28,-0.03169115262814605
2025-03,-0.0731483815914513,-0.0753717703440891,-0.0557209442342748,2025-03-31,-0.0742600759677702
